from,to,distance
6700900-011,6700900-012,5.068545341491699
6703300-005,6703300-028,0.7634836435317993
6702900-006,6702900-010,2.94008731842041
6700500-004,6700300-017,3.2885496616363525
6703400-010,6703400-032,0.7079719305038452
6703200-006,6703200-003,0.9066222310066223
6702400-001,6702500-009,11.487777709960938
6701400-004,6701400-003,1.9127084016799927
6701600-013,6701600-011,1.946536660194397
6703200-040,6703200-001,0.46158847212791443
6703300-016,6703300-015,1.0284581184387207
6703300-035,6703300-028,0.407206654548645
6700100-020,6700100-018,2.0051920413970947
6700300-010,6700300-007,4.435156345367432
6703300-028,6703300-025,0.43633419275283813
6701800-005,6701800-004,1.6443630456924438
6701700-002,6701700-009,5.475246906280518
6701800-008,6701800-009,1.3918269872665405
6702100-016,6702100-008,1.1312955617904663
6701800-001,6701800-006,0.6730926036834717
6700800-013,6700400-005,2.353715658187866
6700400-009,6700400-007,3.7473227977752686
6703200-040,6703200-014,0.962952733039856
6702100-008,6702100-009,1.1056827306747437
6700300-017,6700300-023,3.1156938076019287
6701600-003,6701500-002,1.3608782291412354
6702100-011,6702100-014,2.4749574661254883
6702800-013,6702800-001,1.682237982749939
6700700-021,6700700-017,2.087678909301758
6702700-005,6702700-003,1.0949300527572632
6703600-005,6703600-006,0.5772750377655029
6703600-008,6703600-011,0.7140102982521057
6700700-017,6700700-019,1.0492615699768066
6703500-017,6703600-014,1.3747646808624268
6703300-011,6703300-034,0.8335281014442444
6703600-001,6703600-008,1.4645400047302246
6700700-010,6700700-016,2.347808361053467
6701500-017,6701500-010,3.481271982192993
6702800-001,6702800-004,0.5773719549179077
6703700-004,6703700-010,0.43065398931503296
6702200-001,6701100-004,2.5564095973968506
6703200-035,6702700-014,2.082909107208252
6701500-018,6703500-026,2.8544557094573975
6703400-013,6703100-011,0.8570409417152405
6700200-013,6700200-003,2.7285220623016357
6700100-026,6700100-024,1.8672902584075928
6701500-003,6701500-004,1.9084068536758423
6703300-004,6703700-004,0.4046466052532196
6703200-035,6703200-033,0.8124608993530273
6700900-009,6700400-005,2.434309720993042
6701800-011,6701800-010,0.8887407779693604
6703100-007,6703100-018,2.262042760848999
6701600-010,6701600-008,2.469062328338623
6703100-011,6703400-014,0.5280262231826782
6700200-001,6700200-006,1.8548861742019653
6700200-020,6700200-019,1.3101803064346313
6702800-019,6702800-007,0.8922469019889832
6702300-003,6702300-002,3.0219969749450684
6703500-018,6703500-020,0.95225989818573
6700500-013,6700500-014,1.1725448369979858
6700600-011,6700600-006,4.513309478759766
6703500-021,6703500-025,2.440305709838867
6700500-016,6700500-019,3.7702033519744873
6703300-006,6703700-026,0.4267524778842926
6703200-037,6703400-008,0.86708003282547
6703500-014,6703500-022,1.5785597562789917
6703400-024,6703100-011,0.7810259461402893
6700600-007,6700600-008,3.742891311645508
6700800-003,6700800-001,0.9637547135353088
6702200-005,6702300-008,4.834367752075195
6702800-004,6702800-005,0.4347655475139618
6703200-011,6703200-039,0.7246875166893005
6702800-007,6702800-010,3.122231960296631
6703400-006,6703400-019,0.4063311815261841
6702900-005,6702900-002,1.1878515481948853
6701000-011,6701900-017,2.3094003200531006
6701300-013,6701300-003,2.6280152797698975
6701200-018,6701200-016,1.694994568824768
6700500-001,6700500-017,2.8348989486694336
6700900-002,6700900-005,2.1206705570220947
6703100-036,6703100-035,1.2147552967071533
6700500-011,6700100-008,2.8528194427490234
6701500-002,6701600-011,2.2204339504241943
6703500-040,6703500-051,0.8644389510154724
6702300-005,6702500-007,4.2147722244262695
6701300-001,6701300-006,2.0430328845977783
6703400-043,6703700-034,1.0155242681503296
6702800-004,6702800-018,1.3529994487762451
6700200-010,6700500-019,3.3912384510040283
6700600-001,6700300-005,2.172651767730713
6701600-016,6701600-014,2.700557231903076
6703300-007,6703300-008,0.35312506556510925
6703400-028,6703400-020,0.6048563122749329
6703200-029,6703300-024,0.7687495946884155
6700300-020,6700300-013,2.3753137588500977
6701600-009,6701600-011,2.1838462352752686
6703200-004,6703200-012,0.9554927945137024
6703300-019,6703300-018,0.761797308921814
6703400-024,6703400-022,0.97283536195755
6702100-002,6701400-004,2.106675863265991
6703400-001,6703400-038,0.2862209379673004
6703500-002,6703500-001,1.7580790519714355
6701700-005,6701700-012,1.7722346782684326
6701800-019,6702600-001,1.9207730293273926
6703400-035,6703400-036,0.3402918875217438
6700400-003,6700400-005,2.361178398132324
6700600-010,6700600-009,1.6161725521087646
6700700-013,6700700-006,1.8636679649353027
6702500-003,6702500-005,4.543755531311035
6701000-001,6700900-005,3.2237393856048584
6702700-006,6702700-004,2.1881160736083984
6702900-008,6702900-003,1.5977883338928223
6703300-026,6703300-034,0.9680933356285095
6703700-005,6703400-036,0.4293043911457062
6703200-024,6703200-004,0.760967493057251
6703400-031,6703400-038,0.5498978495597839
6703100-021,6703200-007,1.1755316257476807
6700900-005,6700900-006,1.3257150650024414
6703400-007,6703400-031,0.43032875657081604
6703600-011,6703600-014,1.186946988105774
6700700-001,6700700-009,0.8450452089309692
6702700-010,6702700-015,2.211479902267456
6701000-008,6701000-009,3.2658252716064453
6703300-014,6703300-037,2.5162949562072754
6703200-026,6702700-007,2.1468119621276855
6703100-010,6703100-008,1.872540831565857
6703600-003,6703600-015,1.0307451486587524
6700200-007,6700200-001,1.6419302225112915
