CityName,YY,MM,WGS84_Lon,WGS84_Lat,TempValue
臺南市,1960,5,120.10,23.25,26.2838
臺南市,1960,5,120.10,23.30,26.2951
臺南市,1960,5,120.10,23.35,26.2971
臺南市,1960,5,120.15,22.90,26.8579
臺南市,1960,5,120.15,22.95,26.6839
臺南市,1960,5,120.15,23.00,26.7022
臺南市,1960,5,120.15,23.05,26.5632
臺南市,1960,5,120.15,23.10,26.2765
臺南市,1960,5,120.15,23.15,26.2726
臺南市,1960,5,120.15,23.20,26.2721
臺南市,1960,5,120.15,23.25,26.2635
臺南市,1960,5,120.15,23.30,26.2645
臺南市,1960,5,120.15,23.35,26.267
臺南市,1960,5,120.20,22.90,26.8362
臺南市,1960,5,120.20,22.95,26.7741
臺南市,1960,5,120.20,23.00,26.6752
臺南市,1960,5,120.20,23.05,26.4482
臺南市,1960,5,120.20,23.10,26.2899
臺南市,1960,5,120.20,23.15,26.2784
臺南市,1960,5,120.20,23.20,26.2822
臺南市,1960,5,120.20,23.25,26.278
臺南市,1960,5,120.20,23.30,26.2773
臺南市,1960,5,120.25,22.90,26.7994
臺南市,1960,5,120.25,22.95,26.7666
臺南市,1960,5,120.25,23.00,26.6732
臺南市,1960,5,120.25,23.05,26.4422
臺南市,1960,5,120.25,23.10,26.3046
臺南市,1960,5,120.25,23.15,26.2743
臺南市,1960,5,120.25,23.20,26.261
臺南市,1960,5,120.25,23.25,26.2725
臺南市,1960,5,120.25,23.30,26.2674
臺南市,1960,5,120.25,23.35,26.259
臺南市,1960,5,120.30,22.90,26.7618
臺南市,1960,5,120.30,22.95,26.7095
臺南市,1960,5,120.30,23.00,26.5412
臺南市,1960,5,120.30,23.05,26.5068
臺南市,1960,5,120.30,23.10,26.3268
臺南市,1960,5,120.30,23.15,26.2543
臺南市,1960,5,120.30,23.20,26.2646
臺南市,1960,5,120.30,23.25,26.2573
臺南市,1960,5,120.30,23.30,26.2364
臺南市,1960,5,120.30,23.35,26.2472
臺南市,1960,5,120.30,23.40,26.2453
臺南市,1960,5,120.35,22.90,26.7958
臺南市,1960,5,120.35,22.95,26.55
臺南市,1960,5,120.35,23.00,26.3107
臺南市,1960,5,120.35,23.05,26.3473
臺南市,1960,5,120.35,23.10,26.3119
臺南市,1960,5,120.35,23.15,26.2129
臺南市,1960,5,120.35,23.20,26.1663
臺南市,1960,5,120.35,23.25,26.2217
臺南市,1960,5,120.35,23.30,26.2364
臺南市,1960,5,120.35,23.35,26.2309
臺南市,1960,5,120.35,23.40,26.2167
臺南市,1960,5,120.40,22.90,26.7252
臺南市,1960,5,120.40,22.95,26.4451
臺南市,1960,5,120.40,23.00,26.1329
臺南市,1960,5,120.40,23.05,26.2721
臺南市,1960,5,120.40,23.10,26.043
臺南市,1960,5,120.40,23.15,26.0422
臺南市,1960,5,120.40,23.20,25.919
臺南市,1960,5,120.40,23.25,25.9002
臺南市,1960,5,120.40,23.30,26.13
臺南市,1960,5,120.40,23.35,26.1953
臺南市,1960,5,120.40,23.40,26.2052
臺南市,1960,5,120.45,22.95,26.391
臺南市,1960,5,120.45,23.00,26.1501
臺南市,1960,5,120.45,23.05,26.2367
臺南市,1960,5,120.45,23.10,26.0568
臺南市,1960,5,120.45,23.15,25.8279
臺南市,1960,5,120.45,23.20,25.5311
臺南市,1960,5,120.45,23.25,25.8014
臺南市,1960,5,120.45,23.30,25.8292
臺南市,1960,5,120.45,23.35,26.013
臺南市,1960,5,120.45,23.40,26.0831
臺南市,1960,5,120.50,23.00,25.6147
臺南市,1960,5,120.50,23.05,25.0145
臺南市,1960,5,120.50,23.10,25.6564
臺南市,1960,5,120.50,23.15,25.7116
臺南市,1960,5,120.50,23.20,25.5927
臺南市,1960,5,120.50,23.25,23.489
臺南市,1960,5,120.50,23.30,23.3065
臺南市,1960,5,120.50,23.35,24.583
臺南市,1960,5,120.50,23.40,25.7584
臺南市,1960,5,120.55,23.05,24.9558
臺南市,1960,5,120.55,23.10,24.7544
臺南市,1960,5,120.55,23.15,23.3473
臺南市,1960,5,120.55,23.20,23.8178
臺南市,1960,5,120.55,23.25,24.5813
臺南市,1960,5,120.55,23.30,22.4358
臺南市,1960,5,120.55,23.35,22.0122
臺南市,1960,5,120.60,23.10,24.173
臺南市,1960,5,120.60,23.15,23.7217
臺南市,1960,5,120.60,23.20,23.2626
臺南市,1960,5,120.60,23.25,22.2689
臺南市,1960,5,120.65,23.15,21.816
臺南市,1960,5,120.65,23.20,21.9971
