CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue
臺南市,1960,5,120.15,22.95,0.472313
臺南市,1960,5,120.15,23.00,0.382365
臺南市,1960,5,120.15,23.05,0.464605
臺南市,1960,5,120.15,23.10,0.625273
臺南市,1960,5,120.15,23.15,0.808561
臺南市,1960,5,120.15,23.20,1.07298
臺南市,1960,5,120.15,23.25,1.40339
臺南市,1960,5,120.15,23.30,1.76928
臺南市,1960,5,120.15,23.35,2.15092
臺南市,1960,5,120.20,22.90,0.833493
臺南市,1960,5,120.20,22.95,0.656929
臺南市,1960,5,120.20,23.00,0.436982
臺南市,1960,5,120.20,23.05,0.413674
臺南市,1960,5,120.20,23.10,0.641608
臺南市,1960,5,120.20,23.15,0.99955
臺南市,1960,5,120.20,23.20,1.43875
臺南市,1960,5,120.20,23.25,2.00612
臺南市,1960,5,120.20,23.30,2.53411
臺南市,1960,5,120.25,22.90,1.07045
臺南市,1960,5,120.25,22.95,0.737551
臺南市,1960,5,120.25,23.00,0.623381
臺南市,1960,5,120.25,23.05,0.649004
臺南市,1960,5,120.25,23.10,0.948517
臺南市,1960,5,120.25,23.15,0.991919
臺南市,1960,5,120.25,23.20,1.93099
臺南市,1960,5,120.25,23.25,3.05518
臺南市,1960,5,120.25,23.30,3.22354
臺南市,1960,5,120.25,23.35,3.30899
臺南市,1960,5,120.30,22.90,1.37165
臺南市,1960,5,120.30,22.95,1.24643
臺南市,1960,5,120.30,23.00,1.43978
臺南市,1960,5,120.30,23.05,1.54186
臺南市,1960,5,120.30,23.10,1.3875
臺南市,1960,5,120.30,23.15,1.39145
臺南市,1960,5,120.30,23.20,3.29764
臺南市,1960,5,120.30,23.25,3.72235
臺南市,1960,5,120.30,23.30,4.05417
臺南市,1960,5,120.30,23.35,3.64073
臺南市,1960,5,120.30,23.40,3.26013
臺南市,1960,5,120.35,22.90,1.9188
臺南市,1960,5,120.35,22.95,1.88016
臺南市,1960,5,120.35,23.00,2.23029
臺南市,1960,5,120.35,23.05,2.7163
臺南市,1960,5,120.35,23.10,2.71062
臺南市,1960,5,120.35,23.15,3.43389
臺南市,1960,5,120.35,23.20,4.73268
臺南市,1960,5,120.35,23.25,4.45551
臺南市,1960,5,120.35,23.30,5.06396
臺南市,1960,5,120.35,23.35,5.54316
臺南市,1960,5,120.35,23.40,3.99505
臺南市,1960,5,120.40,22.90,2.51322
臺南市,1960,5,120.40,22.95,2.61921
臺南市,1960,5,120.40,23.00,3.36698
臺南市,1960,5,120.40,23.05,4.27046
臺南市,1960,5,120.40,23.10,3.35748
臺南市,1960,5,120.40,23.15,4.25203
臺南市,1960,5,120.40,23.20,4.54989
臺南市,1960,5,120.40,23.25,4.62279
臺南市,1960,5,120.40,23.30,4.88181
臺南市,1960,5,120.40,23.35,4.89056
臺南市,1960,5,120.40,23.40,4.05432
臺南市,1960,5,120.45,22.95,3.87691
臺南市,1960,5,120.45,23.00,4.1677
臺南市,1960,5,120.45,23.05,4.07215
臺南市,1960,5,120.45,23.10,3.56964
臺南市,1960,5,120.45,23.15,3.90156
臺南市,1960,5,120.45,23.20,4.36018
臺南市,1960,5,120.45,23.25,4.68001
臺南市,1960,5,120.45,23.30,5.17277
臺南市,1960,5,120.45,23.35,4.42414
臺南市,1960,5,120.45,23.40,4.26792
臺南市,1960,5,120.50,23.00,4.67867
臺南市,1960,5,120.50,23.05,4.20031
臺南市,1960,5,120.50,23.10,3.61986
臺南市,1960,5,120.50,23.15,3.20863
臺南市,1960,5,120.50,23.20,3.90596
臺南市,1960,5,120.50,23.25,4.4385
臺南市,1960,5,120.50,23.30,5.60859
臺南市,1960,5,120.50,23.35,4.48737
臺南市,1960,5,120.50,23.40,4.49761
臺南市,1960,5,120.55,23.05,4.44338
臺南市,1960,5,120.55,23.10,3.97251
臺南市,1960,5,120.55,23.15,3.41214
臺南市,1960,5,120.55,23.20,3.83629
臺南市,1960,5,120.55,23.25,4.37025
臺南市,1960,5,120.55,23.30,5.10914
臺南市,1960,5,120.55,23.35,5.02657
臺南市,1960,5,120.60,23.10,4.71262
臺南市,1960,5,120.60,23.15,3.95267
臺南市,1960,5,120.60,23.20,4.36376
臺南市,1960,5,120.60,23.25,4.76182
臺南市,1960,5,120.65,23.15,5.05669
臺南市,1960,5,120.65,23.20,4.76529
臺南市,1960,5,120.65,23.25,5.00829
臺南市,1960,6,120.05,23.05,8.04439
臺南市,1960,6,120.05,23.10,7.76744
臺南市,1960,6,120.05,23.15,7.07143
臺南市,1960,6,120.05,23.20,NAN
臺南市,1960,6,120.10,23.00,NAN
臺南市,1960,6,120.10,23.05,8.76198
臺南市,1960,6,120.10,23.10,8.07406
臺南市,1960,6,120.10,23.15,6.70279
臺南市,1960,6,120.10,23.20,7.01103
臺南市,1960,6,120.10,23.25,6.91768
臺南市,1960,6,120.10,23.30,6.73403
臺南市,1960,6,120.10,23.35,6.1279
臺南市,1960,6,120.15,22.90,11.269
臺南市,1960,6,120.15,22.95,10.4159
臺南市,1960,6,120.15,23.00,9.94286
臺南市,1960,6,120.15,23.05,10.5747
臺南市,1960,6,120.15,23.10,8.6285
臺南市,1960,6,120.15,23.15,7.70324
臺南市,1960,6,120.15,23.20,8.2804
臺南市,1960,6,120.15,23.25,8.51761
臺南市,1960,6,120.15,23.30,8.22813
臺南市,1960,6,120.15,23.35,7.44126
臺南市,1960,6,120.20,22.90,12.4299
臺南市,1960,6,120.20,22.95,11.0788
臺南市,1960,6,120.20,23.00,9.59664
臺南市,1960,6,120.20,23.05,9.2859
臺南市,1960,6,120.20,23.10,9.58199
臺南市,1960,6,120.20,23.15,10.5115
臺南市,1960,6,120.20,23.20,10.6544
臺南市,1960,6,120.20,23.25,8.84844
臺南市,1960,6,120.20,23.30,8.31747
臺南市,1960,6,120.25,22.90,12.8265
臺南市,1960,6,120.25,22.95,10.4838
臺南市,1960,6,120.25,23.00,8.89834
臺南市,1960,6,120.25,23.05,9.25212
臺南市,1960,6,120.25,23.10,9.65487
臺南市,1960,6,120.25,23.15,10.2248
臺南市,1960,6,120.25,23.20,10.4997
臺南市,1960,6,120.25,23.25,8.65366
臺南市,1960,6,120.25,23.30,7.62412
臺南市,1960,6,120.25,23.35,7.5182
臺南市,1960,6,120.30,22.90,11.462
臺南市,1960,6,120.30,22.95,10.671
臺南市,1960,6,120.30,23.00,10.2069
臺南市,1960,6,120.30,23.05,10.5885
臺南市,1960,6,120.30,23.10,9.61484
臺南市,1960,6,120.30,23.15,9.2275
臺南市,1960,6,120.30,23.20,9.92884
臺南市,1960,6,120.30,23.25,8.7916
臺南市,1960,6,120.30,23.30,7.28819
臺南市,1960,6,120.30,23.35,6.94365
臺南市,1960,6,120.30,23.40,7.11259
臺南市,1960,6,120.35,22.90,10.9802
臺南市,1960,6,120.35,22.95,10.4173
臺南市,1960,6,120.35,23.00,9.75239
臺南市,1960,6,120.35,23.05,9.37885
臺南市,1960,6,120.35,23.10,8.16695
臺南市,1960,6,120.35,23.15,9.0114
臺南市,1960,6,120.35,23.20,9.53302
臺南市,1960,6,120.35,23.25,8.7292
臺南市,1960,6,120.35,23.30,7.45556
臺南市,1960,6,120.35,23.35,8.45497
臺南市,1960,6,120.35,23.40,8.50905
臺南市,1960,6,120.40,22.90,10.8584
臺南市,1960,6,120.40,22.95,9.84466
臺南市,1960,6,120.40,23.00,9.67853
臺南市,1960,6,120.40,23.05,10.1737
臺南市,1960,6,120.40,23.10,7.97793
臺南市,1960,6,120.40,23.15,8.70429
臺南市,1960,6,120.40,23.20,9.40876
臺南市,1960,6,120.40,23.25,9.85203
臺南市,1960,6,120.40,23.30,8.15333
臺南市,1960,6,120.40,23.35,8.89132
臺南市,1960,6,120.40,23.40,8.31583
臺南市,1960,6,120.45,22.95,10.2346
臺南市,1960,6,120.45,23.00,9.63454
臺南市,1960,6,120.45,23.05,9.77325
臺南市,1960,6,120.45,23.10,9.32482
臺南市,1960,6,120.45,23.15,9.29394
